Asset_x,YEAR,% RETURN,Year,Average 30-Day BTC/USD Volatility,Asset_y,Gold Return,Gold Volatility Rate,Asset,Yield in (%),Average Yearly Volatility
BTC,2014,-19.88,2014.0,5.06,Gold,-0.44,16.57,US 10 Year Bonds,2.54,5.63
BTC,2015,34.37,2015.0,4.26,Gold,-11.61,17.05,US 10 Year Bonds,2.14,7.86
BTC,2016,123.75,2016.0,2.49,Gold,8.62,17.79,US 10 Year Bonds,1.84,8.78
BTC,2017,1369.03,2017.0,4.13,Gold,9.54,12.44,US 10 Year Bonds,2.33,4.77
BTC,2018,-73.48,2018.0,4.58,Gold,-1.06,11.84,US 10 Year Bonds,2.91,5.72
BTC,2019,92.0,2019.0,4.06,Gold,18.28,12.39,US 10 Year Bonds,2.14,7.47
BTC,2020,303.09,2020.0,5.17,Gold,25.75,21.55,US 10 Year Bonds,0.89,38.13
BTC,2021,59.71,2021.0,4.56,Gold,-3.73,16.7,US 10 Year Bonds,1.44,13.97
,2022,,,,Gold,2.08,18.3,US 10 Year Bonds,2.95,9.25
,2023,,,,Gold,13.14,14.9,US 10 Year Bonds,3.96,4.33
